star_id,kepid,sde,snr,period,depth_ppm,duration_hours,n_transits_expected,n_in_transit_points,odd_even_ratio,odd_even_diff_sig,sec_depth_ratio,sec_depth_sig,quarter_recurrence,v_shape_metric,local_snr,residual_sde,scatter_ppm,scatter_mad_ppm,depth_to_scatter,radius_ratio,alias_ratio_half,alias_ratio_double,alias_ratio_triple,label,injected,period_days,depth_ppm_true,has_planet
KIC_6779260,6779260,9.10325436444355,67.96270301469065,162.94880643229712,6061.399226300499,19.200000000000003,9,297,8.531116325705216,5.682747891834175,0.0,0.0,0.5,5.0,11.115958433585643,0.0,1971.9628659162713,1539.8254671441628,3.9364196499115405,0.07785498844840001,0.4174324184749023,1.5669151534545724,0.817820490837805,1,0.0,,,1
KIC_6841696,6841696,18.89398805508108,177.70908878402517,217.6905927452647,4369.439429082538,9.600000000000001,6,84,0.0,12.906658251147258,0.0,0.0,0.38461538461538464,2.6758581526916423,18.21884788376341,40.61470970670027,722.9682204903278,225.57023580549753,19.37063821155099,0.06610173544682876,0.4758139851394494,1.172471612538638,2.315136971808201,0,1.0,18.28932,394.4,1
KIC_6842313,6842313,10.232182509331867,208.83034049434383,207.30314918541401,6126.615316469501,9.600000000000001,6,56,1.0,20.24117597981344,0.0,0.0,0.23076923076923078,4.097251700409205,1.7611723833178092,57.172083149703404,779.6889849872603,219.68581764521366,27.888078448303887,0.07827269841055373,0.34279235498329086,3.0443495954830597,2.9804133601136478,0,0.0,,,0
KIC_6851708,6851708,13.585775252091267,278.25041926639125,249.60808492798887,5399.014038095357,9.600000000000001,5,75,10.0,12.454635763441955,0.0,0.0,0.2222222222222222,2.5214761137103876,169.2662937309951,27.604630604097007,801.3013820308848,168.17218238469806,32.1040850010793,0.07347798335620921,0.39820266376855906,0.9751791559341554,2.1513012269580547,0,0.0,,,0
KIC_6853029,6853029,18.42646259743974,359.74620371834214,325.6319167288162,5015.817790388782,19.200000000000003,4,132,1.3079735204909941,1.940089833998923,0.0,0.0,0.23529411764705882,2.6121527944591563,122.7395807377645,58.425340930444584,754.8187136368517,160.45553749899733,31.259860946962487,0.07082243846683607,0.4792540523532113,0.8256565467225961,1.5037160481871163,0,0.0,,,0
KIC_6946708,6946708,20.71758090256895,341.9512483155443,185.49301962196773,5815.67682039375,19.200000000000003,7,211,0.0,26.191428067972126,0.07511356379421212,21.02952256349678,0.47058823529411764,2.9817132972327465,127.29798796208908,40.07008884389111,928.1760882288467,247.76056561645967,23.47297200393295,0.07626058497280067,0.734360271600839,1.6490479605070727,0.6028211349622495,1,0.0,,,1
KIC_6949061,6949061,10.890185346539926,277.4451428596443,370.93699044589516,5336.679204183522,19.200000000000003,3,115,0.8933511864664453,1.6291310066032418,0.0,0.0,0.23529411764705882,1.7210625443898995,46.39838669531356,52.25274838963925,655.4467217059606,206.79580508641357,25.806515765411632,0.07305257835411097,0.6030066035503215,0.5567016498532518,0.40072440940748905,1,0.0,,,1
KIC_6949198,6949198,25.20458442879105,562.4080140259057,371.05971567019486,10021.198787457108,28.799999999999997,3,127,1.8043290159173269,7.669088064184944,0.0,0.0,0.23529411764705882,2.0554478736772777,117.71627625896474,41.424389475255154,957.3805635906006,201.0586481094827,49.842167356065445,0.10010593782317365,0.579261647502055,0.7295536153321603,0.5521668976909904,0,0.0,,,0
KIC_7044893,7044893,9.88409049736237,1323.5094612687071,321.9774340102441,24323.9517983733,19.200000000000003,4,148,1.0,29.16421219489907,0.0024117917669938048,3.1423380637434923,0.23529411764705882,2.952538011126471,707.1206651655827,0.0,4533.742446470291,223.828203881387,108.67241650772152,0.15596137918848146,0.48471829964714225,1.998048461795493,1.2199141438217438,0,0.0,,,0
KIC_7116234,7116234,31.548207510461243,372.39252514201297,61.83532990077208,3220.37046169754,19.200000000000003,23,731,0.13024416789604926,0.2948283214730107,0.0,0.0,0.8823529411764706,5.0,3.7802740974759494,42.01710244687884,1213.5283310695434,234.35903127784758,13.741183534248295,0.0567483080073542,0.5067046370229346,1.712297458786403,3.296172326225841,0,0.0,,,0
